&#160;	&#160;	Term	Count	Trend
		multiple	13	0.00026695142,0.00022686025,0.0002680965,0.0002712968,0.000738189,0,0,0,0.00016485328,0.0013747594
		new	13	0,0.00068058074,0.0002680965,0.0010851872,0,0.0012383901,0,0,0.00032970656,0.0002749519
		officer	13	0.0010678057,0.0015880218,0.000536193,0,0,0,0,0,0,0
		road	13	0,0.0013611615,0.0002680965,0,0,0,0,0,0.0009891196,0
		rylance	13	0,0.0029491833,0,0,0,0,0,0,0,0
		similar	13	0.00053390284,0.000907441,0.0002680965,0.0002712968,0.000246063,0,0.0005640158,0.0036563072,0.00016485328,0
		slowly	13	0,0,0.0002680965,0.0010851872,0.000738189,0,0,0,0.0004945598,0.0005499038
		source	13	0.00026695142,0.000907441,0.00080428954,0,0,0.0018575852,0.0011280316,0,0,0
		tower	13	0,0,0.000536193,0,0.000246063,0,0,0,0,0.0027495187
		various	13	0.0010678057,0.00022686025,0,0,0.000246063,0,0,0,0.00032970656,0.0013747594
		watched	13	0.0010678057,0,0.0002680965,0.0002712968,0.001230315,0,0,0,0.00032970656,0
		world	13	0.0010678057,0,0,0.0005425936,0.000246063,0.0024767802,0,0.0018281536,0.00016485328,0
		astronaut	12	0.003203417,0,0,0,0,0,0,0,0,0
		available	12	0,0.0011343013,0,0.0002712968,0.000246063,0,0.0011280316,0,0.00032970656,0.0002749519
		based	12	0.0024025626,0,0.000536193,0.0002712968,0,0,0,0,0,0
		below	12	0.00080085424,0.00022686025,0.00080428954,0.0002712968,0.000492126,0,0.0005640158,0,0,0.0002749519
		blue	12	0.00026695142,0,0.0002680965,0,0,0,0.0016920473,0.0073126145,0.00032970656,0.0002749519
		bonsall	12	0.003203417,0,0,0,0,0,0,0,0,0
		captain	12	0,0,0,0,0,0,0,0.0036563072,0,0.0027495187
		caused	12	0.0013347571,0.00022686025,0,0.0002712968,0.000246063,0,0,0,0.0006594131,0
		close	12	0,0.00022686025,0.000536193,0.0008138904,0.000738189,0,0,0,0.00032970656,0.0002749519
		copyrighted	12	0,0,0,0.0008138904,0,0,0.0016920473,0,0.0004945598,0.00082485564
