&#160;	&#160;	Term	Count	Trend
		radio	15	0,0,0,0.00014553922,0.0011809164,0.0012733446,0,0
		seconds	15	0,0.0011235955,0,0.00029107844,0.00023618327,0.00042444823,0,0.0011032961
		source	15	0.00052475074,0,0.00044702727,0.0005821569,0.00023618327,0.0007074137,0,0.00013791201
		support	15	0.00017491692,0,0,0.00029107844,0.00023618327,0.00014148274,0.00042256498,0.0011032961
		times	15	0.00052475074,0,0.0013410818,0.00029107844,0,0.00042444823,0.00063384743,0.00013791201
		turn	15	0,0,0,0,0,0.00014148274,0.00042256498,0.0016549441
		weather	15	0,0,0.00089405454,0.00087323535,0.0011809164,0,0.00021128249,0.00013791201
		work	15	0,0.0011235955,0,0,0.00023618327,0.00014148274,0,0.0016549441
		year	15	0.00052475074,0,0,0.00043661767,0.00023618327,0.00042444823,0.00042256498,0.00041373604
		aliens	14	0.0013993353,0,0,0.00029107844,0,0.00042444823,0.00021128249,0
		available	14	0.00069966767,0,0.00044702727,0.00014553922,0.0007085498,0.00042444823,0.00021128249,0.00013791201
		away	14	0,0,0.00089405454,0.0005821569,0,0.00056593097,0,0.00055164803
		bright	14	0,0.0011235955,0,0.0011643138,0,0,0.00042256498,0.00041373604
		cannon	14	0,0,0,0,0.0033065658,0,0,0
		chalker	14	0,0,0,0,0,0,0,0.0019307681
		claimed	14	0.00034983383,0,0,0.00029107844,0,0.00056593097,0.00084512995,0.00027582402
		contact	14	0.00034983383,0.002247191,0,0,0.0014170996,0.00028296548,0,0.00027582402
		created	14	0.00052475074,0,0,0.00014553922,0.00023618327,0.0007074137,0.00063384743,0.00013791201
		dna	14	0,0,0,0,0,0,0,0.0019307681
		experience	14	0.00034983383,0,0.00044702727,0,0.00023618327,0.00042444823,0.00021128249,0.0008274721
		half	14	0,0,0,0.0007276961,0,0.0009903791,0,0.00027582402
		probably	14	0.00017491692,0,0.00044702727,0.0005821569,0.0007085498,0.00042444823,0.00021128249,0.00013791201
		provided	14	0.0008745846,0,0,0.00029107844,0.00023618327,0.00042444823,0.00042256498,0.00013791201
		question	14	0.00017491692,0,0,0.00014553922,0.0014170996,0.00042444823,0.00063384743,0
		received	14	0,0,0,0.0010187746,0.00023618327,0.00056593097,0,0.00027582402
		red	14	0,0.004494382,0.00044702727,0.0005821569,0,0.00014148274,0.00021128249,0.00041373604
		sea	14	0.0010495015,0.0033707866,0,0,0,0.00014148274,0,0.00055164803
		separate	14	0.00034983383,0,0.00044702727,0.00014553922,0,0.00014148274,0.00063384743,0.0008274721
		soon	14	0.00069966767,0,0.00044702727,0.00014553922,0,0.00056593097,0.00042256498,0.00027582402
		staff	14	0.0012244184,0,0,0.00014553922,0.00023618327,0.00028296548,0.00021128249,0.00027582402
		type	14	0.00034983383,0,0,0.0005821569,0.00023618327,0.00014148274,0.00021128249,0.0006895601
		view	14	0.00017491692,0,0.00089405454,0.00029107844,0,0.00042444823,0.0010564125,0.00013791201
		white	14	0,0,0.00044702727,0.00029107844,0.0007085498,0.00014148274,0.0014789774,0
		wife	14	0.00034983383,0,0,0.0005821569,0,0.00014148274,0.00063384743,0.00055164803
		00	13	0.00017491692,0,0.00044702727,0,0.00023618327,0.0007074137,0.0010564125,0
		able	13	0.00017491692,0,0.00089405454,0.00043661767,0.0007085498,0.00014148274,0.00021128249,0.00027582402
		captain	13	0.00017491692,0.002247191,0,0.00014553922,0.0011809164,0,0.00021128249,0.00041373604
		cases	13	0,0,0,0.00014553922,0,0.00028296548,0.0012676949,0.00055164803
		claims	13	0.00034983383,0,0,0.00014553922,0,0.0012733446,0,0.00013791201
		degree	13	0,0,0,0,0,0.00014148274,0,0.0016549441
		description	13	0,0,0.00044702727,0.00043661767,0,0.00056593097,0.00063384743,0.00027582402
		directly	13	0.00017491692,0.0011235955,0.00044702727,0,0,0.00028296548,0.00021128249,0.00096538407
		discs	13	0.00227392,0,0,0,0,0,0,0
		estimated	13	0,0,0.00089405454,0,0.0007085498,0.00014148274,0.0014789774,0
		force	13	0.00017491692,0.002247191,0,0,0,0.00028296548,0.0014789774,0.00013791201
		guardian	13	0,0,0,0.0018920099,0,0,0,0
		head	13	0.00017491692,0,0.00044702727,0,0,0.0009903791,0,0.00055164803
		human	13	0.00034983383,0,0,0,0,0.00014148274,0,0.0013791202
		known	13	0.00052475074,0,0,0,0.0007085498,0.00056593097,0.00042256498,0.00013791201
		little	13	0.00034983383,0,0.0022351362,0.00014553922,0,0.00014148274,0.00063384743,0.00013791201
		men	13	0.00034983383,0,0.00044702727,0,0,0.00084889645,0.00063384743,0.00013791201
		note	13	0.00034983383,0,0,0.0007276961,0.0007085498,0.00028296548,0.00021128249,0
		observation	13	0,0,0,0.0005821569,0.00023618327,0.00014148274,0.00021128249,0.0008274721
		research	13	0.0010495015,0,0,0.00014553922,0.00023618327,0.00028296548,0.00042256498,0.00013791201
		run	13	0.00052475074,0,0,0.00014553922,0.00023618327,0,0.00021128249,0.00096538407
		similar	13	0.00034983383,0,0.0013410818,0.0005821569,0,0.00014148274,0.00063384743,0
		slightly	13	0,0.0011235955,0,0.00014553922,0.00023618327,0.00028296548,0.00042256498,0.0008274721
		slope	13	0,0,0,0.00014553922,0,0,0,0.0016549441
		suddenly	13	0.00017491692,0,0.00044702727,0.00014553922,0,0,0.00021128249,0.001241208
		travelling	13	0,0,0,0.00014553922,0,0.00056593097,0.00042256498,0.0008274721
		tried	13	0.00052475074,0,0.00044702727,0.00029107844,0.00023618327,0.00042444823,0,0.00041373604
		unidentified	13	0.00052475074,0,0,0.00087323535,0.00023618327,0,0,0.00041373604
		victor	13	0,0,0,0.00029107844,0,0.0015563101,0,0
		visible	13	0.00017491692,0,0.00044702727,0,0.00023618327,0.00014148274,0.00042256498,0.00096538407
		water	13	0.0008745846,0,0,0,0.00047236655,0.00014148274,0,0.0006895601
		airport	12	0,0,0,0.00029107844,0.0011809164,0,0,0.0006895601
		approximately	12	0,0.0011235955,0.00044702727,0.0005821569,0.00023618327,0.00028296548,0.00063384743,0
		arizona	12	0,0,0,0,0,0,0.0023241073,0.00013791201
		aware	12	0.00034983383,0,0.00044702727,0,0,0.00028296548,0,0.00096538407
		contains	12	0.00052475074,0,0,0.00014553922,0.00023618327,0.0007074137,0.00021128249,0.00013791201
		driving	12	0,0,0,0.00029107844,0,0.00042444823,0.0014789774,0
		explanation	12	0.00052475074,0,0,0,0.0009447331,0.00014148274,0.00021128249,0.00041373604
		foo	12	0.002099003,0,0,0,0,0,0,0
		formation	12	0.00069966767,0,0.0013410818,0,0,0,0.0010564125,0
		government	12	0.0008745846,0,0,0.00014553922,0,0.00056593097,0.00021128249,0.00013791201
		hand	12	0.00069966767,0,0,0.0005821569,0.00047236655,0,0.00042256498,0
